question_id,category,answerable,setting,question,model_answer,retrieved_chunks,reference_answer,evidence_doc,model_name,error
Q001,factual_extraction,yes,closed_book,What office hours are stated for Federal Budgeting Process in Spring 2023?,"I don't have specific information about the office hours for the Federal Budgeting Process in Spring 2023 as this would depend on the agencies and offices involved. Typically, federal agencies provide their office hours on their official websites or through their contact information. For the most accurate and up-to-date information, you should check the websites of relevant government agencies such as the Office of Management and Budget (OMB), the Congressional Budget Office (CBO), or other relevant departments that handle budgeting processes. Additionally, you might want to refer to the official government publications or press releases related to the federal budget process for any specific guidance or schedules they may provide.",[],Office hours are by appointment.,1. Syllabus 2023.txt,Qwen/Qwen2.5-7B-Instruct,
Q001,factual_extraction,yes,full_context,What office hours are stated for Federal Budgeting Process in Spring 2023?,"The office hours for the Federal Budgeting Process in Spring 2023 are stated as ""By appointment"" in the course documents.",[],Office hours are by appointment.,1. Syllabus 2023.txt,Qwen/Qwen2.5-7B-Instruct,
Q001,factual_extraction,yes,basic_rag,What office hours are stated for Federal Budgeting Process in Spring 2023?,"The document does not provide specific office hours for the Federal Budgeting Process course in Spring 2023. The passage only mentions that office hours will be by appointment, but no specific times are given.","[{'score': 0.7564894556999207, 'chunk_id': '1._syllabus_2023_p1_c1', 'source': '1. Syllabus 2023.txt', 'page': 1, 'text': 'Federal Budgeting Process Ð Spring 2023 February 7-March 7, Tuesday 6:00 Ð 8:00 pm <PROF_FIRST_NAME> <PROF_LAST_NAME> <PROF_EMAIL> Office Hours: By appointment Course Overview Understanding the budget process is important for any federal employee and anyone who works for an entity that interacts with the federal government such as NGOs, state governments, consultancies, and the private sector. The course will integrate the subject matter interests of each student and the budget process by utilizing various federal agenciesÕ current budgets as case studies. By exploring budget preparation, tracking, and execution, students will become fluent in general budget terminology and the fiscal year schedule. Emphasis will be put on developing the skills necessary to write effective memos, present clear and concise briefings, and quickly create simple yet illustrative Excel spreadsheets. Student assessment will be based on class participation, short writing assignments, and presentations. Goals and Objectives The goals of this course are threefold. First, the course aims to introduce students to the federal budget process. Second, the course integrates subject matter interests with the feder'}, {'score': 0.6847025156021118, 'chunk_id': 'eecs_376_foundations_of_cs_fall_2020_p2_c1', 'source': 'EECS 376_Foundations of CS_Fall 2020.pdf', 'page': 2, 'text': 'Office Hours: ● All office hours will be conducted remotely over Zoom. ● We will hold both Individualized and group office hours as indicated below. ● See the Google Calendar linked from Canvas for the most up-to-date information. ● The times below are tentative and will be finalized shortly. This document will be updated as things change. ● Zoom links will be added when we start holding office hours at the end of the first week of the term. Monday:\u200b Anjali (10:30am-11:30am), Katie (12:00pm - 2:00pm), Prof. Kamil (2:00pm - 3:00pm), Scott (3:00pm - 4:00pm), Lily (4:30pm - 6:30pm), Reuben (5:00pm - 7:00pm) Tuesday: \u200bMollie (10am - 12pm), Scott (12:00pm - 1:00pm), Ian (1:00pm - 3:00pm), Charmee (3:00pm - 5:00pm), Hadley (5:00pm - 7:00pm) Wednesday\u200b:\u200b Misha (10:00am - 12:00pm), Juliet (12:00pm - 2:00pm) Sam (4:30pm - 6:30pm) Thursday:\u200b Anjali (10:30am-11:30am), Anzhelika (12:00pm - 2:00pm), Prof. Volkovich (2:00pm - 3:00pm) Friday\u200b: Ethan (10:00 am - 12:00pm), Thomas (2:00pm - 4:00pm), Peter (4:00pm - 6:00pm) Zoom:\u200b You will need a Zoom account through the university. You can sign up for one here: https://umich.zoom.us/\u200b. \u200bIf you have a personal Zoom account using your UM email, you wi'}, {'score': 0.6317293047904968, 'chunk_id': 'mdp_(sponsored_project)_2021_cohort_syllabus_p4_c1', 'source': 'MDP (Sponsored Project) 2021 Cohort Syllabus.pdf', 'page': 4, 'text': 'MDP 2021 Cohort Syllabus 4 ● Jenn Carlson has bookable Zoom office hours available throughout the semester. Use the Calendly Links schedule a time to talk about your project, a specific assignment, or to just ask questions. These can be attended individually or as a team. ● Additional office hours will be available in the week prior to large assignments (e.g., Executive Summary, Design Review, etc.). The MDP staff are available to support individual questions and guidance as required. We are happy to meet with you individually to discuss topics raised in your designs, your team meetings, your learning successes, and/or your concerns about this course. To schedule an appointment, please contact one of us by email and indicate what you would like to discuss. Course Materials Most course materials will be specific to your project, identified by your student team (via your Literature and Background Review) and/or provided by your sponsoring organization. Resource Course Texts that you may find useful (none are required) Product Design and Development: Karl Ulrich and Steven Eppinger, McGraw-Hill Engineering Design, George Dieter and Linda Schmidt, 5th Ed., 2012, McGraw Hill. Rapid Cont'}, {'score': 0.6198164820671082, 'chunk_id': '1._syllabus_2023_p1_c3', 'source': '1. Syllabus 2023.txt', 'page': 1, 'text': 'of their proposal. The presentations will be reviewed on the content of their presentations and the quality of the presentations. The presentations will be made to the class (acting as congressional appropriation staff). Be prepared for intense questioning. Presentations should be 5 minutes with an additional 5 minutes for questions and discussion. Class participation: Students must be prepared to actively participate during class. Assessment: One-page memos 30% Final presentation 30% Overall class participation 40% Course Outline Note that the schedule outlined below is neither comprehensive nor set in stone. Its purpose is mainly to serve as a guide for students. The readings and assignments may change to meet the needs of the class. Additional topics may be added or subtracted if deemed appropriate by the instructor. 3 February 7: Introduction Course overview A summary of the federal budget process. Assignment due February 11: Write a one-page memo comparing an agencyÕs FY 2021 budget for a specific program and the programÕs FY 2022 budget. You will need to use the agencyÕs FY 2021 and FY 2022 appropriation bills and their FY 2022 budget justification. We will discuss the memos '}, {'score': 0.6014583110809326, 'chunk_id': 'syllabus_spp_697_pm_2023_(clean)_p1_c1', 'source': 'Syllabus SPP 697 PM 2023 (clean).txt', 'page': 1, 'text': 'SYLLABUS SPP 697 PM: Performance Management University of Massachusetts-Amherst, School of Public Policy Spring 2023 Course Instructor: <PROF_FULL_NAME> Tuesdays, 1:00 Ð 3:30 p.m., On-Line via Zoom Optional participation location: Rm. E-23, Machmer Hall Contact Information and Office Hours Email: <PROF_EMAIL> Office Hours: On request, via phone or Zoom. (For general questions or personal messages, please contact me by e-mail). Course Description and Goals This course will focus on the fundamentals for designing and using a performance-based management framework in the public sector, specifically in the U.S. at the federal, state, local, and nonprofit levels. It will provide a working understanding of how to develop and apply Òuseful measures that are usedÓ Ð a simple statement that is devilishly difficult to actually do, but is fundamental for every public manager to be successful. The goal is to develop your tacit knowledge --in addition to explicit knowledge --about public sector organizational performance management. This will be done via readings, discussion, jointly developing a ÒplaybookÓ of tools for performance management, and jointly developing an assessment of the Biden A'}]",Office hours are by appointment.,1. Syllabus 2023.txt,Qwen/Qwen2.5-7B-Instruct,
Q001,factual_extraction,yes,citation_rag,What office hours are stated for Federal Budgeting Process in Spring 2023?,"Answer:
Evidence:
- [source: 1. Syllabus 2023.txt, page: 1, chunk_id: 1._syllabus_2023_p1_c1] Office hours for the Federal Budgeting Process course in Spring 2023 are by appointment.
Confidence: Moderate

The provided course documents do not specify this.","[{'score': 0.7564894556999207, 'chunk_id': '1._syllabus_2023_p1_c1', 'source': '1. Syllabus 2023.txt', 'page': 1, 'text': 'Federal Budgeting Process Ð Spring 2023 February 7-March 7, Tuesday 6:00 Ð 8:00 pm <PROF_FIRST_NAME> <PROF_LAST_NAME> <PROF_EMAIL> Office Hours: By appointment Course Overview Understanding the budget process is important for any federal employee and anyone who works for an entity that interacts with the federal government such as NGOs, state governments, consultancies, and the private sector. The course will integrate the subject matter interests of each student and the budget process by utilizing various federal agenciesÕ current budgets as case studies. By exploring budget preparation, tracking, and execution, students will become fluent in general budget terminology and the fiscal year schedule. Emphasis will be put on developing the skills necessary to write effective memos, present clear and concise briefings, and quickly create simple yet illustrative Excel spreadsheets. Student assessment will be based on class participation, short writing assignments, and presentations. Goals and Objectives The goals of this course are threefold. First, the course aims to introduce students to the federal budget process. Second, the course integrates subject matter interests with the feder'}, {'score': 0.6847025156021118, 'chunk_id': 'eecs_376_foundations_of_cs_fall_2020_p2_c1', 'source': 'EECS 376_Foundations of CS_Fall 2020.pdf', 'page': 2, 'text': 'Office Hours: ● All office hours will be conducted remotely over Zoom. ● We will hold both Individualized and group office hours as indicated below. ● See the Google Calendar linked from Canvas for the most up-to-date information. ● The times below are tentative and will be finalized shortly. This document will be updated as things change. ● Zoom links will be added when we start holding office hours at the end of the first week of the term. Monday:\u200b Anjali (10:30am-11:30am), Katie (12:00pm - 2:00pm), Prof. Kamil (2:00pm - 3:00pm), Scott (3:00pm - 4:00pm), Lily (4:30pm - 6:30pm), Reuben (5:00pm - 7:00pm) Tuesday: \u200bMollie (10am - 12pm), Scott (12:00pm - 1:00pm), Ian (1:00pm - 3:00pm), Charmee (3:00pm - 5:00pm), Hadley (5:00pm - 7:00pm) Wednesday\u200b:\u200b Misha (10:00am - 12:00pm), Juliet (12:00pm - 2:00pm) Sam (4:30pm - 6:30pm) Thursday:\u200b Anjali (10:30am-11:30am), Anzhelika (12:00pm - 2:00pm), Prof. Volkovich (2:00pm - 3:00pm) Friday\u200b: Ethan (10:00 am - 12:00pm), Thomas (2:00pm - 4:00pm), Peter (4:00pm - 6:00pm) Zoom:\u200b You will need a Zoom account through the university. You can sign up for one here: https://umich.zoom.us/\u200b. \u200bIf you have a personal Zoom account using your UM email, you wi'}, {'score': 0.6317293047904968, 'chunk_id': 'mdp_(sponsored_project)_2021_cohort_syllabus_p4_c1', 'source': 'MDP (Sponsored Project) 2021 Cohort Syllabus.pdf', 'page': 4, 'text': 'MDP 2021 Cohort Syllabus 4 ● Jenn Carlson has bookable Zoom office hours available throughout the semester. Use the Calendly Links schedule a time to talk about your project, a specific assignment, or to just ask questions. These can be attended individually or as a team. ● Additional office hours will be available in the week prior to large assignments (e.g., Executive Summary, Design Review, etc.). The MDP staff are available to support individual questions and guidance as required. We are happy to meet with you individually to discuss topics raised in your designs, your team meetings, your learning successes, and/or your concerns about this course. To schedule an appointment, please contact one of us by email and indicate what you would like to discuss. Course Materials Most course materials will be specific to your project, identified by your student team (via your Literature and Background Review) and/or provided by your sponsoring organization. Resource Course Texts that you may find useful (none are required) Product Design and Development: Karl Ulrich and Steven Eppinger, McGraw-Hill Engineering Design, George Dieter and Linda Schmidt, 5th Ed., 2012, McGraw Hill. Rapid Cont'}, {'score': 0.6198164820671082, 'chunk_id': '1._syllabus_2023_p1_c3', 'source': '1. Syllabus 2023.txt', 'page': 1, 'text': 'of their proposal. The presentations will be reviewed on the content of their presentations and the quality of the presentations. The presentations will be made to the class (acting as congressional appropriation staff). Be prepared for intense questioning. Presentations should be 5 minutes with an additional 5 minutes for questions and discussion. Class participation: Students must be prepared to actively participate during class. Assessment: One-page memos 30% Final presentation 30% Overall class participation 40% Course Outline Note that the schedule outlined below is neither comprehensive nor set in stone. Its purpose is mainly to serve as a guide for students. The readings and assignments may change to meet the needs of the class. Additional topics may be added or subtracted if deemed appropriate by the instructor. 3 February 7: Introduction Course overview A summary of the federal budget process. Assignment due February 11: Write a one-page memo comparing an agencyÕs FY 2021 budget for a specific program and the programÕs FY 2022 budget. You will need to use the agencyÕs FY 2021 and FY 2022 appropriation bills and their FY 2022 budget justification. We will discuss the memos '}, {'score': 0.6014583110809326, 'chunk_id': 'syllabus_spp_697_pm_2023_(clean)_p1_c1', 'source': 'Syllabus SPP 697 PM 2023 (clean).txt', 'page': 1, 'text': 'SYLLABUS SPP 697 PM: Performance Management University of Massachusetts-Amherst, School of Public Policy Spring 2023 Course Instructor: <PROF_FULL_NAME> Tuesdays, 1:00 Ð 3:30 p.m., On-Line via Zoom Optional participation location: Rm. E-23, Machmer Hall Contact Information and Office Hours Email: <PROF_EMAIL> Office Hours: On request, via phone or Zoom. (For general questions or personal messages, please contact me by e-mail). Course Description and Goals This course will focus on the fundamentals for designing and using a performance-based management framework in the public sector, specifically in the U.S. at the federal, state, local, and nonprofit levels. It will provide a working understanding of how to develop and apply Òuseful measures that are usedÓ Ð a simple statement that is devilishly difficult to actually do, but is fundamental for every public manager to be successful. The goal is to develop your tacit knowledge --in addition to explicit knowledge --about public sector organizational performance management. This will be done via readings, discussion, jointly developing a ÒplaybookÓ of tools for performance management, and jointly developing an assessment of the Biden A'}]",Office hours are by appointment.,1. Syllabus 2023.txt,Qwen/Qwen2.5-7B-Instruct,
Q002,factual_extraction,yes,closed_book,What penalty is stated for more than two unexcused absences in 1. Syllabus 2023?,"To provide an accurate answer, I would need to refer to the specific syllabus document from 2023 that outlines the attendance policy. However, based on common academic policies, if a student has more than two unexcused absences, they might face penalties such as:

- A reduction in their final grade.
- Mandatory attendance improvement plan.
- Suspension from the course.

For precise information, please consult the official syllabus document provided by your institution or instructor for the 2023 academic year.",[],More than two unexcused absences will result in a drop of at least one letter grade.,1. Syllabus 2023.txt,Qwen/Qwen2.5-7B-Instruct,
Q002,factual_extraction,yes,full_context,What penalty is stated for more than two unexcused absences in 1. Syllabus 2023?,"According to the course syllabus for the Federal Budgeting Process course in 2023, more than two unexcused absences will result in a drop of at least one letter grade.",[],More than two unexcused absences will result in a drop of at least one letter grade.,1. Syllabus 2023.txt,Qwen/Qwen2.5-7B-Instruct,
Q002,factual_extraction,yes,basic_rag,What penalty is stated for more than two unexcused absences in 1. Syllabus 2023?,"The documents provided do not contain information about the penalty for unexcused absences in the 2023 syllabus. Therefore, the documents do not provide enough information to answer the question.","[{'score': 0.7205315828323364, 'chunk_id': 'webapps2_syllabus_s2022_p6_c1', 'source': 'WebApps2_syllabus_s2022.pdf', 'page': 6, 'text': 'Advanced Web Apps syllabus / McAdams 6 - For each class meeting you do not attend at all: –1 point One (1) missed class meeting is excused automatically (no points taken); no formal excuse is needed. All other missed class meetings require formal documentation to forgo the point deduction. - For chronic lateness— o If you have been marked late 5 times or more: –1 point o If you have been marked late 10 times or more: –2 points - Leaving class early is only acceptable if you’re given free time to work on assignments. Leaving before the class is formally ended: If this happens more than once, the second and all subsequent incidents will be –0.5 point each. Special circumstances such as a job interview will be handled as excused (no penalty) unless the student is missing 30 minutes or more each time. - For repeatedly showing inattention, e.g. checking your phone during lecture, doing non- class-related things on your laptop, or chatting socially with friends during lab: You will be warned (privately) about this. After two warnings, a third incident will be –1 point. Grades and Grading Policies Quizzes 15 percent Assignments 50 percent Presentations (2 per student) 10 percent Final pro'}, {'score': 0.709380030632019, 'chunk_id': 'webapps2_syllabus_s2022_p2_c1', 'source': 'WebApps2_syllabus_s2022.pdf', 'page': 2, 'text': 'Advanced Web Apps syllabus / McAdams 2 For weekly topics, see page 7, “Course Schedule and Required Work.” Attendance and Attitude Students are expected to show respect for one another and for the instructor by arriving before the class starting time. Attendance is taken and participation is expected. If you have been absent, you are responsible for finding out about any missed material by consulting another student and/or going to the instructor’s office hours and/or making an appointment to meet with the instructor. Please do not check text messages, social media, email, etc., during class, as your instructor considers this quite rude and therefore grounds for disciplinary action. Moreover, you will miss things if you’re checking messages or otherwise disengaged. Give your undivided attention to anyone who is speaking in class, including your fellow students. Another student might ask a question that will help you, if you are listening. See Attendance and participation under “Course Requirements” below for grading specifics. UF Attendance Policies > https://catalog.ufl.edu/UGRD/academic-regulations/attendance-policies/ Course Deadlines and Makeup Work Late assignments are not acc'}, {'score': 0.6976031064987183, 'chunk_id': 'web_apps_syllabus_2021_p6_c2', 'source': 'Web_Apps_Syllabus_2021.pdf', 'page': 6, 'text': 'of this syllabus. - For chronic lateness— o If you have been marked late 5 times or more for either lecture or lab): –1 point o If you have been marked late 10 times or more for either lecture or lab): –2 points - For leaving lab early without having completed the assignment: You will be warned about this if your assignment grades are poor, or if you are missing assignments. - For leaving lecture before the class is formally ended: If this happens more than once, the second and all subsequent incidents will be –0.5 point each. - For repeatedly showing inattention, e.g. checking your phone during lecture, or chatting socially with friends during lab: You will be warned about this. After two warnings, a third incident will be –1 point. Enforcement of these attendance policies will, it is hoped, inspire you to take your lecture and lab opportunities seriously.'}, {'score': 0.6917078495025635, 'chunk_id': 'web_apps_syllabus_2021_p2_c1', 'source': 'Web_Apps_Syllabus_2021.pdf', 'page': 2, 'text': 'Intro to Web Apps syllabus / McAdams 2 Attendance and Attitude Students are expected to show respect for one another and for the instructor by arriving before the class starting time. Attendance is taken. Students must attend the lab section in which they are enrolled because we cannot accommodate more than 15 students in a lab. No credit will be given for attending the other lab section. Lateness and absences will result in a lower final grade. If you have been absent, you are responsible for finding out about any missed material by consulting another student and/or going to the instructor’s office hours. These matters will not be handled via email. This is a fully in-person synchronous course in fall 2021. There is no remote learning or Zoom. Mobile devices must be placed out of sight during class. Do not check text messages, social media, email, etc., during class, as your instructor considers this quite rude and therefore grounds for disciplinary action. Moreover, you will miss things if you’re checking your phone. Give your full and undivided attention to anyone who is speaking in class, including your fellow students. Another student might ask a question that will help you, i'}, {'score': 0.6868107914924622, 'chunk_id': 'eng_204_syllabus_fa_2021_p1_c2', 'source': 'ENG 204 syllabus_FA 2021.txt', 'page': 1, 'text': 'count as an unexcused absence. - Five or more unexcused absences will result in a failing course grade. Participation includes: - Coming to class on time. Chronic lateness and/or leaving early will also have a negative impact on your grade. - Doing the assigned reading and contributing thoughtfully to discussions by talking and listening respectfully. - Turning off or silencing your cell phone. Computers and other electronic equipment should be used for class purposes only. Reading Exercises (15%): There will be routine quizzes, writing assignments, and Moodle posts related to the reading for the day. Sometimes I will ask you to write a short piece or upload a Moodle post for the next class. I may also give out a reading quiz at the beginning of a class. You will not be able to make up the quiz if you are late or absent. Discussion Questions & Facilitation (10%): You will sign up to come up with a discussion question based on the dayÕs reading(s) and post it on Moodle before the class meeting. Once in class, you will introduce and facilitate the discussion that results from the question. Your question should be about 100-words and be conducive to a discussion. Here is an example th'}]",More than two unexcused absences will result in a drop of at least one letter grade.,1. Syllabus 2023.txt,Qwen/Qwen2.5-7B-Instruct,
Q002,factual_extraction,yes,citation_rag,What penalty is stated for more than two unexcused absences in 1. Syllabus 2023?,"Answer:
The provided course documents do not specify this.

Evidence:
- [source: WebApps2_syllabus_s2022.pdf, page: 6, chunk_id: webapps2_syllabus_s2022_p6_c1] ...
- [source: Web_Apps_Syllabus_2021.pdf, page: 6, chunk_id: web_apps_syllabus_2021_p6_c2] ...
- [source: Web_Apps_Syllabus_2021.pdf, page: 2, chunk_id: web_apps_syllabus_2021_p2_c1] ...
- [source: ENG 204 syllabus_FA 2021.txt, page: 1, chunk_id: eng_204_syllabus_fa_2021_p1_c2] ...

Confidence: The specific penalty for more than two unexcused absences in the 2023 syllabus is not mentioned in the provided passages.","[{'score': 0.7205315828323364, 'chunk_id': 'webapps2_syllabus_s2022_p6_c1', 'source': 'WebApps2_syllabus_s2022.pdf', 'page': 6, 'text': 'Advanced Web Apps syllabus / McAdams 6 - For each class meeting you do not attend at all: –1 point One (1) missed class meeting is excused automatically (no points taken); no formal excuse is needed. All other missed class meetings require formal documentation to forgo the point deduction. - For chronic lateness— o If you have been marked late 5 times or more: –1 point o If you have been marked late 10 times or more: –2 points - Leaving class early is only acceptable if you’re given free time to work on assignments. Leaving before the class is formally ended: If this happens more than once, the second and all subsequent incidents will be –0.5 point each. Special circumstances such as a job interview will be handled as excused (no penalty) unless the student is missing 30 minutes or more each time. - For repeatedly showing inattention, e.g. checking your phone during lecture, doing non- class-related things on your laptop, or chatting socially with friends during lab: You will be warned (privately) about this. After two warnings, a third incident will be –1 point. Grades and Grading Policies Quizzes 15 percent Assignments 50 percent Presentations (2 per student) 10 percent Final pro'}, {'score': 0.709380030632019, 'chunk_id': 'webapps2_syllabus_s2022_p2_c1', 'source': 'WebApps2_syllabus_s2022.pdf', 'page': 2, 'text': 'Advanced Web Apps syllabus / McAdams 2 For weekly topics, see page 7, “Course Schedule and Required Work.” Attendance and Attitude Students are expected to show respect for one another and for the instructor by arriving before the class starting time. Attendance is taken and participation is expected. If you have been absent, you are responsible for finding out about any missed material by consulting another student and/or going to the instructor’s office hours and/or making an appointment to meet with the instructor. Please do not check text messages, social media, email, etc., during class, as your instructor considers this quite rude and therefore grounds for disciplinary action. Moreover, you will miss things if you’re checking messages or otherwise disengaged. Give your undivided attention to anyone who is speaking in class, including your fellow students. Another student might ask a question that will help you, if you are listening. See Attendance and participation under “Course Requirements” below for grading specifics. UF Attendance Policies > https://catalog.ufl.edu/UGRD/academic-regulations/attendance-policies/ Course Deadlines and Makeup Work Late assignments are not acc'}, {'score': 0.6976031064987183, 'chunk_id': 'web_apps_syllabus_2021_p6_c2', 'source': 'Web_Apps_Syllabus_2021.pdf', 'page': 6, 'text': 'of this syllabus. - For chronic lateness— o If you have been marked late 5 times or more for either lecture or lab): –1 point o If you have been marked late 10 times or more for either lecture or lab): –2 points - For leaving lab early without having completed the assignment: You will be warned about this if your assignment grades are poor, or if you are missing assignments. - For leaving lecture before the class is formally ended: If this happens more than once, the second and all subsequent incidents will be –0.5 point each. - For repeatedly showing inattention, e.g. checking your phone during lecture, or chatting socially with friends during lab: You will be warned about this. After two warnings, a third incident will be –1 point. Enforcement of these attendance policies will, it is hoped, inspire you to take your lecture and lab opportunities seriously.'}, {'score': 0.6917078495025635, 'chunk_id': 'web_apps_syllabus_2021_p2_c1', 'source': 'Web_Apps_Syllabus_2021.pdf', 'page': 2, 'text': 'Intro to Web Apps syllabus / McAdams 2 Attendance and Attitude Students are expected to show respect for one another and for the instructor by arriving before the class starting time. Attendance is taken. Students must attend the lab section in which they are enrolled because we cannot accommodate more than 15 students in a lab. No credit will be given for attending the other lab section. Lateness and absences will result in a lower final grade. If you have been absent, you are responsible for finding out about any missed material by consulting another student and/or going to the instructor’s office hours. These matters will not be handled via email. This is a fully in-person synchronous course in fall 2021. There is no remote learning or Zoom. Mobile devices must be placed out of sight during class. Do not check text messages, social media, email, etc., during class, as your instructor considers this quite rude and therefore grounds for disciplinary action. Moreover, you will miss things if you’re checking your phone. Give your full and undivided attention to anyone who is speaking in class, including your fellow students. Another student might ask a question that will help you, i'}, {'score': 0.6868107914924622, 'chunk_id': 'eng_204_syllabus_fa_2021_p1_c2', 'source': 'ENG 204 syllabus_FA 2021.txt', 'page': 1, 'text': 'count as an unexcused absence. - Five or more unexcused absences will result in a failing course grade. Participation includes: - Coming to class on time. Chronic lateness and/or leaving early will also have a negative impact on your grade. - Doing the assigned reading and contributing thoughtfully to discussions by talking and listening respectfully. - Turning off or silencing your cell phone. Computers and other electronic equipment should be used for class purposes only. Reading Exercises (15%): There will be routine quizzes, writing assignments, and Moodle posts related to the reading for the day. Sometimes I will ask you to write a short piece or upload a Moodle post for the next class. I may also give out a reading quiz at the beginning of a class. You will not be able to make up the quiz if you are late or absent. Discussion Questions & Facilitation (10%): You will sign up to come up with a discussion question based on the dayÕs reading(s) and post it on Moodle before the class meeting. Once in class, you will introduce and facilitate the discussion that results from the question. Your question should be about 100-words and be conducive to a discussion. Here is an example th'}]",More than two unexcused absences will result in a drop of at least one letter grade.,1. Syllabus 2023.txt,Qwen/Qwen2.5-7B-Instruct,
Q003,factual_extraction,yes,closed_book,When are absences excused in 1. Syllabus 2023?,"To provide an accurate answer about excused absences for the 2023 syllabus, I would need to refer to the specific document or syllabus you're asking about. Typically, a syllabus includes information about attendance policies and excused absences. If you can provide more details about the course or the specific syllabus, I can give you a more precise answer. For example, it might state that absences due to illness, family emergencies, or religious observances are excused with proper documentation. Could you please provide more context or the specific details from the syllabus?",[],"Absences are excused if they are supported by an appropriate document, such as documentation from the dean or a doctor.",1. Syllabus 2023.txt,Qwen/Qwen2.5-7B-Instruct,
Q003,factual_extraction,yes,full_context,When are absences excused in 1. Syllabus 2023?,"Absences are excused if supported by an appropriate document (i.e., from the dean or doctor) according to the course syllabus for the Federal Budgeting Process course in Spring 2023.",[],"Absences are excused if they are supported by an appropriate document, such as documentation from the dean or a doctor.",1. Syllabus 2023.txt,Qwen/Qwen2.5-7B-Instruct,
