question_id,question,category,answerable,reference_answer,closed_book_answer,error
Q001,What office hours are stated for Federal Budgeting Process in Spring 2023?,factual_extraction,yes,Office hours are by appointment.,"I'm sorry, but I don't have specific information about the office hours for the ""Federal Budgeting Process"" course during Spring 2023. To provide you with accurate details, I would need to check the official course syllabus or contact the instructor directly. Could you please verify this from your academic resources?",
Q002,What penalty is stated for more than two unexcused absences in 1. Syllabus 2023?,factual_extraction,yes,More than two unexcused absences will result in a drop of at least one letter grade.,"I'm sorry, but based on the information you've provided, there isn't any specific penalty mentioned for more than two unexcused absences in the 2023 syllabus. To provide an accurate answer, I would need to refer directly to the course syllabus or policy document from that year. Could you please check if such a penalty is outlined there?",
Q003,When are absences excused in 1. Syllabus 2023?,factual_extraction,yes,"Absences are excused if they are supported by an appropriate document, such as documentation from the dean or a doctor.","I'm sorry, but I don't have specific information about the syllabus for the course ""Syllabus 2023"" because this appears to be a generic title rather than an actual document or official policy. To accurately answer your question, I would need more details such as which institution's syllabus you are referring to and what constitutes excused absences in their specific policies.

If you could provide me with the name of the course or institution, along with any relevant information about their attendance policy, I'd be happy to help you find the correct answer.",
Q004,What penalty is stated for late assignments in 1. Syllabus 2023?,factual_extraction,yes,"Assignments must be turned in on the due date; otherwise, students are subject to a drop of at least one letter grade per day.","I'm sorry, but I don't have specific information about the penalty for late assignments in the 2023 syllabus of a particular course. To provide an accurate answer, I would need details from that specific syllabus document or course policy page. Could you please provide more context or access to the relevant syllabus material?",
Q005,What grade consequence is stated for academic dishonesty in 1. Syllabus 2023?,factual_extraction,yes,Academic dishonesty in any form will not be tolerated and will result in a grade of zero.,"I'm sorry, but I don't have specific information about the grade consequences for academic dishonesty from the 2023 syllabus of a particular course as this details are not available to me. To accurately answer your question, you would need to refer directly to the syllabus or course guidelines provided by the instructor or institution offering that course in 2023.",
Q006,What is the final presentation requirement in 1. Syllabus 2023?,factual_extraction,yes,Each student will make a final presentation on an agency's FY 2024 budget proposal.,"I'm sorry, but I don't have specific information about the final presentation requirement for the Syllabus 2023 course policy as it's not a widely known or publicly available syllabus. To provide you with accurate details, I would need more context such as the name of the course and its provider. Could you please provide additional information?",
Q007,How is the assessment divided in 1. Syllabus 2023?,factual_extraction,yes,"The assessment consists of one-page memos worth 30%, the final presentation worth 30%, and overall class participation worth 40%.","I'm sorry, but I don't have specific information about how the assessment was divided for the Syllabus 2023 course policy since you haven't provided details or context regarding which particular syllabus and course it refers to. To accurately answer your question, I would need more specific information such as the name of the course, its subject matter, and any official documentation from that academic year's syllabus. Could you please provide additional details?",
Q008,What assignment is due on February 11 in 1. Syllabus 2023?,factual_extraction,yes,The February 11 assignment is a one-page memo comparing an agency's FY 2021 budget for a specific program with the program's FY 2022 budget.,"I'm sorry, but I don't have enough information to answer your question based solely on the provided syllabus for the course in 2023. To accurately determine what assignment is due on February 11, I would need access to that specific syllabus or course outline from the 2023 academic year.

If you can provide more details about the course or a portion of the syllabus mentioning assignments due on February 11, I'd be happy to help further.",
Q009,What assignment is due on February 18 in 1. Syllabus 2023?,factual_extraction,yes,The February 18 assignment is a one-page memo comparing the President's FY 2023 budget request for a specific program within an agency to the program's FY 2022 budget.,"I'm sorry, but I don't have enough information to determine which specific assignment is due on February 18 from the 2023 syllabus alone. To provide an accurate answer, I would need more details about the course and its assignments for that particular year. Could you please provide more context or specify the name of the course?",
Q010,What topic is scheduled for February 21 in 1. Syllabus 2023?,factual_extraction,yes,"The February 21 topic covers budget preparation, the President's budget, budget execution, and the agency budget formulation process.","I'm sorry, but I don't have enough information to answer your question based solely on the given syllabus topics from 2023. To provide an accurate response, I would need access to the specific syllabus for that year and confirmation of which February 21 topic it covers. Could you please provide more details or direct me to the relevant section of the syllabus?",
