question_id,category,answerable,evidence_doc,retrieved_chunk_ids,retrieved_sources,retrieval_hit,match_type
Q001,factual_extraction,yes,1. Syllabus 2023.txt,"[""eecs_376_foundations_of_cs_fall_2020_p2_c1"", ""mdp_(sponsored_project)_2021_cohort_syllabus_p4_c1"", ""mdp_(sponsored_project)_2021_cohort_syllabus_p3_c2"", ""music_ed_500ku_syllabus_s23_p1_c5"", ""eecs_484_database_management_systems_winter_2021_p2_c1""]","[""EECS 376_Foundations of CS_Fall 2020.pdf"", ""MDP (Sponsored Project) 2021 Cohort Syllabus.pdf"", ""MDP (Sponsored Project) 2021 Cohort Syllabus.pdf"", ""MUSIC-ED 500KU Syllabus S23.txt"", ""EECS 484_Database Management Systems_Winter 2021.pdf""]",False,not_found
Q002,factual_extraction,yes,1. Syllabus 2023.txt,"[""webapps2_syllabus_s2022_p6_c1"", ""biochem_320_syllabus_sp23_2_feb_2023_p1_c10"", ""eng_204_syllabus_fa_2021_p1_c2"", ""psych_397d_syllabus_spring_2023_p1_c6"", ""journal_310_(international_journalism)_syllabus___2022_spring_p1_c10""]","[""WebApps2_syllabus_s2022.pdf"", ""BIOCHEM 320 Syllabus SP23 2 Feb 2023.txt"", ""ENG 204 syllabus_FA 2021.txt"", ""PSYCH 397D syllabus Spring 2023.txt"", ""JOURNAL 310 (International Journalism) Syllabus - 2022 Spring.txt""]",False,not_found
Q003,factual_extraction,yes,1. Syllabus 2023.txt,"[""webapps2_syllabus_s2022_p6_c1"", ""journal_310_(international_journalism)_syllabus___2022_spring_p1_c10"", ""music_ed_500ku_syllabus_s23_p1_c3"", ""biochem_320_syllabus_sp23_2_feb_2023_p1_c9"", ""music_ed_500ku_syllabus_s23_p1_c5""]","[""WebApps2_syllabus_s2022.pdf"", ""JOURNAL 310 (International Journalism) Syllabus - 2022 Spring.txt"", ""MUSIC-ED 500KU Syllabus S23.txt"", ""BIOCHEM 320 Syllabus SP23 2 Feb 2023.txt"", ""MUSIC-ED 500KU Syllabus S23.txt""]",False,not_found
Q004,factual_extraction,yes,1. Syllabus 2023.txt,"[""eecs_484_database_management_systems_winter_2021_p5_c1"", ""psych_397d_syllabus_spring_2023_p1_c6"", ""math561&ioe_510_linear_programming_i_winter_2021_p3_c2"", ""geog468668syllabusgis_2023_p1_c4"", ""web_apps_syllabus_2021_p5_c2""]","[""EECS 484_Database Management Systems_Winter 2021.pdf"", ""PSYCH 397D syllabus Spring 2023.txt"", ""MATH561&IOE 510_Linear Programming I_Winter 2021.pdf"", ""GEOG468668syllabusGIS_2023.txt"", ""Web_Apps_Syllabus_2021.pdf""]",False,not_found
Q005,factual_extraction,yes,1. Syllabus 2023.txt,"[""mie_302_spring_2022_syllabus_v1_p1_c4"", ""mie_380_syllabus_f22_p1_c5"", ""stat_111_syl_spring_2023_p1_c5"", ""mktg_497g_customer_insight_syllabus_s2023_p1_c9"", ""ai_and_media_syllabus_s2022_p3_c1""]","[""MIE 302 Spring 2022 Syllabus-v1.txt"", ""MIE 380 syllabus F22.txt"", ""stat-111-syl-spring 2023.txt"", ""MKTG 497G Customer Insight Syllabus S2023.txt"", ""AI_and_Media_Syllabus_s2022.pdf""]",False,not_found
Q006,factual_extraction,yes,1. Syllabus 2023.txt,"[""syllabus_grounding_s_2023_p1_c1"", ""mdp_(sponsored_project)_2021_cohort_syllabus_p8_c1"", ""syllabus_grounding_s_2023_p1_c2"", ""music_ed_500ku_syllabus_s23_p1_c5"", ""nutr_130h_syllabus_2021fall_p1_c3""]","[""Syllabus_Grounding_S_2023.txt"", ""MDP (Sponsored Project) 2021 Cohort Syllabus.pdf"", ""Syllabus_Grounding_S_2023.txt"", ""MUSIC-ED 500KU Syllabus S23.txt"", ""Nutr_130H_Syllabus_2021Fall.txt""]",False,not_found
Q007,factual_extraction,yes,1. Syllabus 2023.txt,"[""music_ed_500ku_syllabus_s23_p1_c5"", ""syllabus.astron101.summer2023_p1_c4"", ""syllabus_grounding_s_2023_p1_c1"", ""eecs_201_computer_science_pragmatics_fall_2020_p2_c3"", ""syllabus_resec213_2023spring_yp_p1_c1""]","[""MUSIC-ED 500KU Syllabus S23.txt"", ""Syllabus.Astron101.summer2023.txt"", ""Syllabus_Grounding_S_2023.txt"", ""EECS 201_Computer Science Pragmatics_Fall 2020.pdf"", ""syllabus-RESEC213-2023spring-yp.txt""]",False,not_found
Q008,factual_extraction,yes,1. Syllabus 2023.txt,"[""music_ed_500ku_syllabus_s23_p1_c5"", ""web_apps_syllabus_2021_p5_c2"", ""eecs_492_introduction_to_ai_winter_2021_p2_c1"", ""stat_111_syl_spring_2023_p1_c1"", ""mdp_(sponsored_project)_2021_cohort_syllabus_p6_c1""]","[""MUSIC-ED 500KU Syllabus S23.txt"", ""Web_Apps_Syllabus_2021.pdf"", ""EECS 492_Introduction to AI_Winter 2021.pdf"", ""stat-111-syl-spring 2023.txt"", ""MDP (Sponsored Project) 2021 Cohort Syllabus.pdf""]",False,not_found
Q009,factual_extraction,yes,1. Syllabus 2023.txt,"[""web_apps_syllabus_2021_p5_c2"", ""music_ed_500ku_syllabus_s23_p1_c5"", ""eecs_492_introduction_to_ai_winter_2021_p2_c1"", ""eecs_370_introduction_to_computer_organization_fall_2020_p4_c1"", ""mdp_(sponsored_project)_2021_cohort_syllabus_p7_c1""]","[""Web_Apps_Syllabus_2021.pdf"", ""MUSIC-ED 500KU Syllabus S23.txt"", ""EECS 492_Introduction to AI_Winter 2021.pdf"", ""EECS 370_Introduction to Computer Organization_Fall 2020.pdf"", ""MDP (Sponsored Project) 2021 Cohort Syllabus.pdf""]",False,not_found
Q010,factual_extraction,yes,1. Syllabus 2023.txt,"[""mdp_(sponsored_project)_2021_cohort_syllabus_p6_c1"", ""mdp_(sponsored_project)_2021_cohort_syllabus_p5_c1"", ""music_ed_500ku_syllabus_s23_p1_c5"", ""mdp_(sponsored_project)_2021_cohort_syllabus_p1_c1"", ""syllabus_spp_697_pm_2023_(clean)_p1_c17""]","[""MDP (Sponsored Project) 2021 Cohort Syllabus.pdf"", ""MDP (Sponsored Project) 2021 Cohort Syllabus.pdf"", ""MUSIC-ED 500KU Syllabus S23.txt"", ""MDP (Sponsored Project) 2021 Cohort Syllabus.pdf"", ""Syllabus SPP 697 PM 2023 (clean).txt""]",False,not_found
