question_id,category,answerable,closed_book_has_output,full_context_has_output,basic_rag_has_output,citation_rag_has_output,closed_book_error,full_context_error,basic_rag_error,citation_rag_error,basic_rag_has_retrieved_chunks,basic_rag_has_retrieved_chunk_ids,citation_format_valid,closed_book_pass,full_context_pass,basic_rag_pass,citation_rag_pass,all_settings_pass
Q001,factual_extraction,yes,True,True,True,True,,,,,True,True,True,True,True,True,True,True
Q002,factual_extraction,yes,True,True,True,True,,,,,True,True,True,True,True,True,True,True
Q003,factual_extraction,yes,True,True,True,True,,,,,True,True,True,True,True,True,True,True
Q004,factual_extraction,yes,True,True,True,True,,,,,True,True,True,True,True,True,True,True
Q005,factual_extraction,yes,True,True,True,True,,,,,True,True,True,True,True,True,True,True
Q006,factual_extraction,yes,True,True,True,True,,,,,True,True,True,True,True,True,True,True
Q007,factual_extraction,yes,True,True,True,True,,,,,True,True,True,True,True,True,True,True
Q008,factual_extraction,yes,True,True,True,True,,,,,True,True,True,True,True,True,True,True
Q009,factual_extraction,yes,True,True,True,True,,,,,True,True,True,True,True,True,True,True
Q010,factual_extraction,yes,True,True,True,True,,,,,True,True,True,True,True,True,True,True
Q011,factual_extraction,yes,True,True,True,True,,,,,True,True,True,True,True,True,True,True
Q012,factual_extraction,yes,True,True,True,True,,,,,True,True,True,True,True,True,True,True
Q013,factual_extraction,yes,True,True,True,True,,,,,True,True,True,True,True,True,True,True
Q014,factual_extraction,yes,True,True,True,True,,,,,True,True,True,True,True,True,True,True
Q015,factual_extraction,yes,True,True,True,True,,,,,True,True,True,True,True,True,True,True
Q016,factual_extraction,yes,True,True,True,True,,,,,True,True,True,True,True,True,True,True
Q017,factual_extraction,yes,True,True,True,True,,,,,True,True,True,True,True,True,True,True
Q018,factual_extraction,yes,True,True,True,True,,,,,True,True,True,True,True,True,True,True
Q019,factual_extraction,yes,True,True,True,True,,,,,True,True,True,True,True,True,True,True
Q020,factual_extraction,yes,True,True,True,True,,,,,True,True,True,True,True,True,True,True
