question_id,question,category,reference_answer,evidence_doc,evidence_page,evidence_text,answerable,notes,quality_flags
Q001,What office hours are stated for Federal Budgeting Process in Spring 2023?,factual_extraction,Office hours are by appointment.,1. Syllabus 2023.txt,1,"Federal Budgeting Process - Spring 2023 February 7-March 7, Tuesday 6:00 - 8:00 pm <PROF_FIRST_NAME> <PROF_LAST_NAME> <PROF_EMAIL> Office Hours: By appointment Course Overview Understanding the budget process is important for any federal employee and anyone who works for an entity that interacts with the federal government such as NGOs, state governments, consultancies, and the private sector.",yes,auto factual question about office hours,
Q002,What penalty is stated for more than two unexcused absences in 1. Syllabus 2023?,factual_extraction,More than two unexcused absences will result in a drop of at least one letter grade.,1. Syllabus 2023.txt,1,More than two unexcused absences will result in a drop of at least one letter grade.,yes,auto factual question about grading,
Q003,When are absences excused in 1. Syllabus 2023?,factual_extraction,"Absences are excused if they are supported by an appropriate document, such as documentation from the dean or a doctor.",1. Syllabus 2023.txt,1,"Absences are excused if supported by an appropriate document (i.e., from the dean or doctor).",yes,auto factual question about attendance,
Q004,What penalty is stated for late assignments in 1. Syllabus 2023?,factual_extraction,"Assignments must be turned in on the due date; otherwise, students are subject to a drop of at least one letter grade per day.",1. Syllabus 2023.txt,1,"Assignments are to be turned in promptly on the date they are due, or students will be subject to a drop of at least one letter grade per day.",yes,auto factual question about grading,
Q005,What grade consequence is stated for academic dishonesty in 1. Syllabus 2023?,factual_extraction,Academic dishonesty in any form will not be tolerated and will result in a grade of zero.,1. Syllabus 2023.txt,1,Academic dishonesty in any form will not be tolerated and will result in a grade of zero.,yes,auto factual question about grading,
Q006,What is the final presentation requirement in 1. Syllabus 2023?,factual_extraction,Each student will make a final presentation on an agency's FY 2024 budget proposal.,1. Syllabus 2023.txt,1,Final presentation: Each student will make a presentation on an agency's FY 2024 budget proposal.,yes,auto factual question about exams,
Q007,How is the assessment divided in 1. Syllabus 2023?,factual_extraction,"The assessment consists of one-page memos worth 30%, the final presentation worth 30%, and overall class participation worth 40%.",1. Syllabus 2023.txt,1,Assessment: One-page memos 30% Final presentation 30% Overall class participation 40% Course Outline Note that the schedule,yes,auto factual question about grading,
Q008,What assignment is due on February 11 in 1. Syllabus 2023?,factual_extraction,The February 11 assignment is a one-page memo comparing an agency's FY 2021 budget for a specific program with the program's FY 2022 budget.,1. Syllabus 2023.txt,1,Assignment due February 11: Write a one-page memo comparing an agency's FY 2021 budget for a specific program and the program's FY 2022 budget.,yes,auto factual question about deadline or submission,
Q009,What assignment is due on February 18 in 1. Syllabus 2023?,factual_extraction,The February 18 assignment is a one-page memo comparing the President's FY 2023 budget request for a specific program within an agency to the program's FY 2022 budget.,1. Syllabus 2023.txt,1,"Assignment due February 18: Write a one-page memo comparing the President's FY 2023 budget request for a specific program within an agency, to the program's FY 2022 budget.",yes,auto factual question about deadline or submission,
Q010,What topic is scheduled for February 21 in 1. Syllabus 2023?,factual_extraction,"The February 21 topic covers budget preparation, the President's budget, budget execution, and the agency budget formulation process.",1. Syllabus 2023.txt,1,"February 21: Budget preparation and the President's budget, and budget execution An examination of the agency budget formulation process, including OMB's review of agency requests and the formulation of the president's budget.",yes,auto factual question about exams,
Q011,What budget is examined in 1. Syllabus 2023?,factual_extraction,The syllabus states that students examine the President's FY 2023 budget.,1. Syllabus 2023.txt,1,An examination of the President's FY 2023 budget.,yes,auto factual question about exams,
Q012,What office hours information is stated in 101-f22-syll?,factual_extraction,"The instructor's office hours are Wednesday 12:00-1:00 and by email. Teaching assistants also list office hours, including Friday 8:00-10:00, Monday/Wednesday 2:30-3:30, and Thursday 2:00-4:00.",101-f22-syll.txt,1,"LINGUIST 101 (49624) People and Their Language MW 1.25-2.15, Morrill Science (II), Room 131 Sections: F 10.10-11.00 (AF), 11.15-12.05 (AD), 12.20-1.10 (AC, AE), 1.25-2.15 (AA,AB) Fall 2022 <PROF_FULL_NAME> N418 Integrative Learning Center Office Hours: W 12-1 and by email <PROF_EMAIL> Teaching Assistants <TA_FULL_NAME> (<TA_EMAIL>) ILC N421H, Office Hours: F 8-10 Sections: AF 10.10-11.00 (ILC S231), AA 1.25-2.15 (Hasbrouck Lab Add 104B) <TA_FULL_NAME> (<TA_EMAIL>) ILC N431G, Office Hours: MW 2.3",yes,auto factual question about office hours,
Q013,What topic related to dialect prejudice is stated in 101-f22-syll?,factual_extraction,The course states that it will closely examine the pernicious effects of dialect prejudice.,101-f22-syll.txt,1,We will closely examine the pernicious effects of dialect prejudice.,yes,auto factual question about exams,
Q014,What file format is required for assignments in 101-f22-syll?,factual_extraction,All assignments must be submitted in PDF format unless otherwise indicated.,101-f22-syll.txt,1,All assignments must be submitted in pdf format unless otherwise indicated.,yes,auto factual question about deadline or submission,
Q015,When and where are lectures held in 101-f22-syll?,factual_extraction,"Lectures are held on Monday and Wednesday from 1:25 to 2:15 in Morrill Science II, Room 131.",101-f22-syll.txt,1,"Lectures, Discussion Sections and Attendance: I will lecture on MW 1.25-2.15 in Morrill Science (II), Room 131.",yes,auto factual question about attendance,
Q016,Why should students attend discussion sections in 101-f22-syll?,factual_extraction,"Students should attend discussion sections because they will do group problem solving and mini-assignments there, which constitute a sizeable part of the grade.",101-f22-syll.txt,1,Discussion sections are on Friday (check Spire to see the time/ location of your section) and you should make sure to attend these as you will be doing group problem solving and mini-assignments which will constitute a size-able chunk of your grade.,yes,auto factual question about grading,
Q017,What should a student do if they are absent from discussion in 101-f22-syll?,factual_extraction,The student should let the TA know; the syllabus states that the student will not be penalized and the TA will make an accommodation.,101-f22-syll.txt,1,You will not be penalized for your absence - just let your TA know and they will make an accommodation for you.,yes,auto factual question about attendance,
Q018,How much of the course grade is made up by homework assignments in 101-f22-syll?,factual_extraction,Homework assignments make up 50% of the course grade.,101-f22-syll.txt,1,"Homework Assignments (10*5=50%): This is a big chunk of the course grade, so just one missing assignment could lower your grade considerably!",yes,auto factual question about grading,
Q019,How must assignments be submitted in 101-f22-syll?,factual_extraction,Assignments must be typed and submitted electronically via Moodle in PDF format unless otherwise indicated.,101-f22-syll.txt,1,All assignments must be typed and submitted electronically via Moodle in pdf format unless indicated otherwise.,yes,auto factual question about deadline or submission,
