question_id,question,category,answerable,reference_answer,evidence_doc,full_context_answer,selected_doc_count,context_chars,error
Q001,What office hours are stated for Federal Budgeting Process in Spring 2023?,factual_extraction,yes,Office hours are by appointment.,1. Syllabus 2023.txt,The office hours for the Federal Budgeting Process course in Spring 2023 are by appointment. The professor's email is provided as <PROF_EMAIL>.,1,6956,
Q002,What penalty is stated for more than two unexcused absences in 1. Syllabus 2023?,factual_extraction,yes,More than two unexcused absences will result in a drop of at least one letter grade.,1. Syllabus 2023.txt,The penalty for more than two unexcused absences is a drop of at least one letter grade.,1,6956,
Q003,When are absences excused in 1. Syllabus 2023?,factual_extraction,yes,"Absences are excused if they are supported by an appropriate document, such as documentation from the dean or a doctor.",1. Syllabus 2023.txt,"Absences are excused if supported by an appropriate document (i.e., from the dean or doctor).",1,6956,
Q004,What penalty is stated for late assignments in 1. Syllabus 2023?,factual_extraction,yes,"Assignments must be turned in on the due date; otherwise, students are subject to a drop of at least one letter grade per day.",1. Syllabus 2023.txt,The penalty for late assignments is a drop of at least one letter grade per day.,1,6956,
Q005,What grade consequence is stated for academic dishonesty in 1. Syllabus 2023?,factual_extraction,yes,Academic dishonesty in any form will not be tolerated and will result in a grade of zero.,1. Syllabus 2023.txt,"The grade consequence for academic dishonesty, which is defined as ""All students are expected to act in an ethical manner. Academic dishonesty in any form will not be tolerated and will result in a grade of zero,"" is stated in the syllabus.",1,6956,
Q006,What is the final presentation requirement in 1. Syllabus 2023?,factual_extraction,yes,Each student will make a final presentation on an agency's FY 2024 budget proposal.,1. Syllabus 2023.txt,"The final presentation requirement in the syllabus is that each student will make a presentation on an agency's FY 2024 budget proposal. The proposal should be developed taking into consideration previous budgets and requests. Prior to the presentation, the student will provide the class with a draft of their proposal. The presentations will be reviewed based on the content and quality of the presentations. Presentations are made to the class (acting as congressional appropriation staff) and should be 5 minutes long with an additional 5 minutes for questions and discussion.",1,6956,
Q007,How is the assessment divided in 1. Syllabus 2023?,factual_extraction,yes,"The assessment consists of one-page memos worth 30%, the final presentation worth 30%, and overall class participation worth 40%.",1. Syllabus 2023.txt,"The assessment for this course in 1. Syllabus 2023 is divided as follows:

- One-page memos: 30%
- Final presentation: 30%
- Overall class participation: 40%

This breakdown covers the total percentage of the final grade, which is 100%.",1,6956,
Q008,What assignment is due on February 11 in 1. Syllabus 2023?,factual_extraction,yes,The February 11 assignment is a one-page memo comparing an agency's FY 2021 budget for a specific program with the program's FY 2022 budget.,1. Syllabus 2023.txt,The assignment due on February 11 in 1. Syllabus 2023 is to write a one-page memo comparing an agency's FY 2021 budget for a specific program and the program's FY 2022 budget. You will need to use the agency's FY 2021 and FY 2022 appropriation bills and their FY 2022 budget justification.,1,6956,
Q009,What assignment is due on February 18 in 1. Syllabus 2023?,factual_extraction,yes,The February 18 assignment is a one-page memo comparing the President's FY 2023 budget request for a specific program within an agency to the program's FY 2022 budget.,1. Syllabus 2023.txt,"On February 18, students are assigned to write a one-page memo comparing the President's FY 2023 budget request for a specific program within an agency to the program's FY 2022 budget. They will need to use the agency's FY 2022 and FY 2023 appropriation bills and budget justifications.",1,6956,
Q010,What topic is scheduled for February 21 in 1. Syllabus 2023?,factual_extraction,yes,"The February 21 topic covers budget preparation, the President's budget, budget execution, and the agency budget formulation process.",1. Syllabus 2023.txt,"The topic scheduled for February 21 in the syllabus is ""Budget preparation and the President's budget, and budget execution"". This includes an examination of the agency budget formulation process, including OMB’s review of agency requests and the formulation of the president's budget. It also involves examining the President's FY 2023 budget and discussing the implementation stage of federal budgeting, which is managing agency finances and assessing results. Additionally, it covers performance-based management at the federal level and agencies' strategic plans.",1,6956,
