doc_id,file_name,doc_type,publication_date,source,source_url,is_official_course_material,notes
playlists,playlists.md,course webpage,,macloo Course Syllabi,,unknown,copied from E:\Working\edu_policy_qa\data\external\macloo_course_syllabi\playlists.md
readme,README.md,course webpage,,macloo Course Syllabi,,unknown,copied from E:\Working\edu_policy_qa\data\external\macloo_course_syllabi\README.md
ai_and_media_syllabus_s2022,AI_and_Media_Syllabus_s2022.pdf,course syllabus,,macloo Course Syllabi,,unknown,copied from E:\Working\edu_policy_qa\data\external\macloo_course_syllabi\pdfs\AI_and_Media_Syllabus_s2022.pdf
webapps2_syllabus_s2022,WebApps2_syllabus_s2022.pdf,course syllabus,,macloo Course Syllabi,,unknown,copied from E:\Working\edu_policy_qa\data\external\macloo_course_syllabi\pdfs\WebApps2_syllabus_s2022.pdf
web_apps_syllabus_2021,Web_Apps_Syllabus_2021.pdf,course syllabus,,macloo Course Syllabi,,unknown,copied from E:\Working\edu_policy_qa\data\external\macloo_course_syllabi\pdfs\Web_Apps_Syllabus_2021.pdf
readme_1,README_1.md,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\README.md
requirements,requirements.txt,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\requirements.txt
test,test.csv,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\data\dataset_split\test.csv
test,test.json,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\data\dataset_split\test.json
train,train.csv,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\data\dataset_split\train.csv
train,train.json,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\data\dataset_split\train.json
val,val.csv,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\data\dataset_split\val.csv
val,val.json,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\data\dataset_split\val.json
syllabi_meta_info,syllabi_meta_info.csv,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_meta_info.csv
1._syllabus_2023,1. Syllabus 2023.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\1. Syllabus 2023.pdf
101_f22_syll,101-f22-syll.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\101-f22-syll.pdf
130_syllabus_2_s_2023,130 syllabus_2 S 2023.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\130 syllabus_2 S 2023.pdf
151_syllabus_fall_2022_rounds,151 syllabus fall 2022 Rounds.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\151 syllabus fall 2022 Rounds.pdf
2023_chem122_syllabus,2023_Chem122_syllabus.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\2023_Chem122_syllabus.pdf
270_syllabus_fall_2022_(1),270 Syllabus Fall 2022 (1).pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\270 Syllabus Fall 2022 (1).pdf
315_lab_syllabus_22_01_11,315 Lab Syllabus 22-01-11.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\315 Lab Syllabus 22-01-11.pdf
796_syllabus,796 Syllabus.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\796 Syllabus.pdf
acct_371_syllabus___spring,Acct 371 Syllabus - Spring.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\Acct 371 Syllabus - Spring.pdf
advanced_system_software_design_redacted,advanced_system_software_design_redacted.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\advanced_system_software_design_redacted.pdf
animlsci581_syllabus_v4,Animlsci581 Syllabus-v4.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\Animlsci581 Syllabus-v4.pdf
bch8016_solid_state_analysis_(syl)_012219___revised,BCH8016 Solid State Analysis (SYL) 012219 - revised.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\BCH8016 Solid State Analysis (SYL) 012219 - revised.pdf
bdes_syllabus_2021_v1rsb,BDES-Syllabus-2021-v1rsb.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\BDES-Syllabus-2021-v1rsb.pdf
biochem_320_syllabus_sp23_2_feb_2023,BIOCHEM 320 Syllabus SP23 2 Feb 2023.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\BIOCHEM 320 Syllabus SP23 2 Feb 2023.pdf
biol582_2022_syllabus,Biol582_2022_Syllabus.pdf,course syllabus,,SyllabusQA,,unknown,copied from E:\Working\edu_policy_qa\data\external\syllabusqa\syllabi\syllabi_redacted\pdf\Biol582_2022_Syllabus.pdf
